,관광지명,도시,테마,도로명주소,지번주소,위도,경도,구글별점,검색건수,데이터셋카테고리,지도상 관광지명,별점,리뷰개수
411,목포자연사박물관,전라남도 목포시,,목포시 남농로 135,전라남도 목포시 용해동 7,34.7939106668,126.4225029615,,130000,,목포자연사박물관,4.3,1500
412,갓바위,전라남도 목포시,,목포시 남농로 135,전라남도 목포시 용해동 산86-24,34.7921900744,126.4257403548,,1940000,,대구 팔공산 갓바위,4.6,4353
413,인천가스과학관,인천광역시 연수구,,인천광역시 연수구 인천신항대로960,인천광역시 연수구 송도동 364,37.35281836,126.6121219,,183000,,가스과학관,4.0,118
414,인천상륙작전기념관,인천광역시 연수구,,인천광역시 연수구 청량로160번길 26,인천광역시 연수구 옥련동 525,37.42070925,126.6531798,,127000,,인천상륙작전기념관,4.2,899
415,컴팩스마트시티,인천광역시 연수구,,인천광역시 연수구 인천타워대로 238,인천광역시 연수구 송도동24-7,37.39281227,126.6358879,,17600,,인천도시역사관,4.2,222
416,가천박물관,인천광역시 연수구,,인천광역시 연수구 청량로102번길 40-9,인천광역시 연수구 옥련동 567-22,37.41847997,126.6576026,,307000,,가천박물관,4.1,31
417,오월드,대전광역시,,대전광역시 중구 사정공원로 70,대전광역시 중구 사정동 142,36.28749807,127.3985061,,21100000,,대전오월드,4.2,6226
418,뿌리공원,대전광역시,,대전광역시 중구 뿌리공원로 79,대전광역시 중구 침산동 364,36.28537962,127.3883000376,,0,,뿌리공원,4.4,2805
419,엑스포과학공원,대전광역시,,대전광역시 유성구 대덕대로 480,대전광역시 유성구 도룡동 3-1,36.37662561,127.3871992,,1090000,,대전 엑스포 과학공원,4.0,95
420,한밭수목원,대전광역시,,대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 396,36.36646857,127.3880154,,256000,,한밭수목원,4.6,3175
421,계족산황톳길,대전광역시,,대전광역시 대덕구 장동로 59,대전광역시 대덕구 와동 2-1,36.40406651,127.4297932,,55000,,계족산 황톳길,4.5,394
