,관광지명,도시,테마,도로명주소,지번주소,위도,경도,구글별점,검색건수,데이터셋카테고리,지도상 관광지명,리뷰개수
151,다리안관광지,충청북도 단양군,,충청북도 단양군 단양읍 소백산등산길 12,충청북도 단양군 단양읍 천동리 409,36.9647819,128.4207808,4.5,0,,다리안관광지,2
152,경산온천,경상북도 경산시,,경상북도 경산시 남산면 상대로116길 18,경상북도 경산시 남산면 상대리 528,35.78037855,128.7922287,4.0,255,,경산상대맥반온천,39
153,무극전적국민관광지,충청북도 음성군,,충청북도 음성군 음성읍 생음대로 594,충청북도 음성군 음성읍 소여리 897,36.95063812,127.6470131659,4.0,121,,감우재전승기념관,134
154,우수영관광지,전라남도 해남군,,전라남도 해남군 문내면 관광레저로 1,전라남도 해남군 문내면 학동리 1021,34.57257374,126.3101147,4.2,268,,해남 전라우수영,1172
155,땅끝관광지,전라남도 해남군,,전라남도 해남군 송지면 땅끝마을길 100,전라남도 해남군 송지면 송호리 1158-5,34.29471348,126.5250233,3.9,0,,땅끝모노레일,1356
156,경천대관광지,경상북도 상주시,,경상북도 상주시 사벌국면 경천로 652,경상북도 상주시 사벌국면 삼덕리 1-13,36.45722382,128.2478641,4.3,127,,경천대,708
157,회상나루관광지,경상북도 상주시,,경상북도 상주시 중동면 갱다불길 97,경상북도 상주시 중동면 회상리 764,36.44187503,128.2657793,4.6,216,,낙동강 회상나루 관광지(Nakdonggang Hoesangnaru Tourist Site),83
158,이바구공작소,부산광역시 동구,,부산광역시 동구 망양로486번길 14-13,부산광역시 동구 초량동 875-2,35.1170993891,129.0338233,4.1,235,,이바구 공작소,153
159,장기려더나눔센터,부산광역시 동구,,부산광역시 동구 영초윗길 48,부산광역시 동구 초량동 856-31,35.11853593,129.0326526,4.4,97,,더나눔,50
160,이바구충전소,부산광역시 동구,,부산광역시 동구 영초윗길 25,부산광역시 동구 초량동 974-4,35.11735028,129.034686,4.5,317,,이바구충전소,6
161,168계단 부대시설,부산광역시 동구,,부산광역시 동구 영초윗길26번길 14,부산광역시 동구 초량동 994-520,35.117699498,129.0353474,4.2,216,,168계단,1811
162,김민부전망대,부산광역시 동구,,부산광역시 동구 영초윗길26번길 14,부산광역시 동구 초량동 994-520,35.117699498,129.0353474,4.2,230,,김민부전망대,14
163,유치환의 우체통,부산광역시 동구,,부산광역시 동구 망양로580번길 2,부산광역시 동구 초량동 827-44,35.1220958828,129.0338423,4.1,236,,유치환의 우체통,344
164,소흥관(한중우호센터),부산광역시 동구,,부산광역시 동구 초량중로 36,부산광역시 동구 초량동 546,35.11507608,129.0375502,None,100,,한중우호센터,None
165,만화체험관,부산광역시 동구,,부산광역시 동구 성북로 42-1,부산광역시 동구 범일동 1405-1,35.13778041,129.0497944,3.0,155,,동구만화체험관,1
