,관광지,별점,리뷰수
483,광복로,,
484,부산영화체험박물관,4.1,493
485,대전예술의전당,4.5,"1,594"
486,대전시립연정국악원,4.5,315
487,헌인릉,4.3,824
488,매헌윤봉길의사기념관,4.6,62
489,고투몰 고속버스터미널 지하상가,4.3,769
490,반포대교 달빛무지개분수,4.4,812
491,삼성 딜라이트,4.3,"3,743"
492,강감찬전시관,5.0,1
493,구문소,4.2,70
494,무릉계곡,4.7,128
495,동해 망상 해변 한옥촌,5.0,1
496,추암,4.5,10
497,천지연폭포,4.3,508
498,정방폭포,4.3,"4,865"
499,주상절리대,4.3,261
500,천제연폭포,4.5,"9,706"
501,산방산,4.4,178
502,용머리해안,4.1,109
503,감귤박물관,3.4,11
504,오두산통일전망대,4.3,"3,558"
505,역사안보전시관,3.5,"1,799"
506,화진포 해양박물관,,
507,화진포 생태박물관,,
508,송지호 관망타워,4.0,1
509,송도해상케이블카 송도베이스테이션,4.3,"14,163"
510,송도해수욕장,4.3,269
511,암남공원,4.4,499
512,구덕문화공원,4.5,22
513,송도해안볼레길(송도해안산책로),4.4,"5,494"
514,대신공원,3.7,3
515,부산공동어시장 조합공동사업법인,5.0,1
516,천마산조각공원,5.0,1
517,구덕운동장,4.2,686
518,임시수도기념관,4.5,64
519,송도오션파크,4.1,65
520,내원사계곡,4.0,174
521,대운산자연휴양림,3.5,78
522,법기저수지,4.3,40
523,양산시립박물관,4.1,21
524,양산타워,5.0,1
525,에덴밸리리조트,3.9,"2,329"
526,임경대,4.3,603
527,통도사대전포교원용수사,5.0,2
528,통도환타지아,4.5,4
529,홍룡폭포(虹龍瀑布),4.5,"1,021"
530,황산문화체육공원,4.4,22
531,방화동 가족휴가촌,4.4,198
532,남한산성,4.3,"1,373"
533,분원백자자료관,4.0,1
534,천진암,4.0,1
535,경기도자박물관,3.5,11
536,경안천 습지생태공원,5.0,1
537,팔당 물안개공원,4.2,"1,235"
538,중대물빛공원,4.3,722
539,무이예술관,3.9,341
540,백룡동굴 생태체험 학습장,4.5,390
541,이효석 문화마을,3.4,112
542,백룡동굴 생태체험 학습장,4.5,390
543,용평스키리조트,3.7,"1,374"
544,오션700,4.1,"1,646"
545,휘닉스 평창,3.7,55
546,평화누리자전거길 1코스,4.1,16
547,평화누리길 2코스 시작점,4.0,1
548,평화누리길 3코스,3.7,55
549,장릉,4.4,14
550,애기봉 평화 생태공원,4.2,79
551,문수산성,4.3,573
552,김포함상공원,4.0,295
553,김포 덕포진 교육 박물관,4.3,48
554,김포 덕포진 교육 박물관,4.3,48
555,김포다도박물관,4.3,90
556,김포국제조각공원,4.4,878
557,한옥마을.아트빌리지,4.2,"1,179"
558,오전약수탕,3.8,549
559,다덕약수관광지,3.8,549
560,주왕산 국립공원,4.6,88
561,호미곶,4.0,77
562,신륵사,4.8,8
563,주포해수찜,3.9,68
564,함평자연생태공원,4.2,10
